stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Berlin Südkreuz,452917,239344,52.475925,13.365291,
Berlin Südkreuz,452917,462466,52.475407,13.365754,
Berlin Südkreuz,452917,504538,52.475433,13.365603,
Berlin Südkreuz,452917,600628,52.475685,13.365454,
Berlin Südkreuz,452917,78868,52.47565,13.365612,
Berlin Zoologischer Garten,627708,155415,52.507717,13.332555,
Berlin Zoologischer Garten,627708,300707,52.50768,13.332686,
Berlin Zoologischer Garten,627708,326231,52.50762,13.332927,
Berlin Zoologischer Garten,627708,472232,52.507652,13.332804,
Berlin-Charlottenburg,217389,11331,52.504173,13.301819,
Berlin-Grunewald (N),,424593,52.496574,13.277671,1
Berlin-Grunewald (N),424593,266889,52.496574,13.277671,
Berlin-Lichtenberg,310417,379594,52.510277,13.497433,
Berlin-Lichtenberg,310417,594621,52.510216,13.496164,
Berlin-Lichtenberg,310417,597235,52.510002,13.49649,
Berlin-Spandau,596812,182164,52.534485,13.1971,
Berlin-Spandau,596812,20256,52.534542,13.197124,
Berlin-Spandau,596812,454192,52.534668,13.197191,
Berlin-Spandau,596812,465800,52.5346,13.197163,
Berlin-Wannsee,574521,159348,52.421402,13.180358,
Berlin-Wannsee,574521,530522,52.42135,13.180446,
Bern,,49203,46.948833,7.439131,1
Bern,49203,382587,46.948833,7.439131,
Bernau(b Berlin),547393,200606,52.67533,13.592016,
